# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
F,K,s,t,r,displacement,call,put,intrinsic
100,105,0.25,1,0.03,0.01,7.656642379009665,12.508870046752206,0
100,105,0.25,10,0.03,0.01,21.531965439427164,25.236056542835748,0
100,105,0.8,0.02,0.03,0.01,2.5456377114670117,7.542638611287032,0
100,105,0.8,1,0.03,0.01,28.551176900958584,33.403404568701134,0
100,105,0.8,10,0.03,0.01,58.459079372884545,62.163170476293146,0
100,120,0.05,0.02,0.03,0.01,2.123710599385741e-148,19.98800359928011,0
100,120,0.05,1,0.03,0.01,0.0001721421437071913,19.409082813113862,0
100,120,0.05,10,0.03,0.01,0.7905018600779813,15.606866273712338,0
100,120,0.25,0.02,0.03,0.01,8.845141241196362e-08,19.988003687731513,0
100,120,0.25,1,0.03,0.01,3.597098675340053,23.00600934631022,0
100,120,0.25,10,0.03,0.01,18.26854430393551,33.08490871756987,0
100,120,0.8,0.02,0.03,0.01,0.27994775475365724,20.267951354033762,0
100,120,0.8,1,0.03,0.01,24.29114467543252,43.70005534640268,0
100,120,0.8,10,0.03,0.01,57.40423996035281,72.22060437398716,0
100,160,0.05,0.02,0.03,0.01,0,59.96401079784031,0
100,160,0.05,1,0.03,0.01,1.754094192855513e-21,58.226732012910475,0
100,160,0.05,10,0.03,0.01,0.00622514509879149,44.455318386001835,0
100,160,0.25,0.02,0.03,0.01,4.245673390102832e-41,59.96401079784031,0
100,160,0.25,1,0.03,0.01,0.35527343891917135,58.58200545182965,0
100,160,0.25,10,0.03,0.01,12.09383306867654,56.54292630957959,0
100,160,0.8,0.02,0.03,0.01,5.1019362436549625e-05,59.96406181720273,0
100,160,0.8,1,0.03,0.01,16.200873871166312,74.42760588407678,0
100,160,0.8,10,0.03,0.01,54.992511047981154,99.44160428888422,0
0.035,0.03,0.4,10,0.02,0.01,0.018564445400722166,0.01447079163533225,0.004093653765389913
100,60,0.05,0.02,0.03,0.03,39.97600719856022,-0,39.97600719856022
100,60,0.05,1,0.03,0.03,38.81782134194032,3.148739602036104e-25,38.81782134194032
100,60,0.05,10,0.03,0.03,29.63423138421789,0.0015025569491797488,29.632728827268714
100,60,0.25,0.02,0.03,0.03,39.97600719856022,2.617646916089477e-48,39.97600719856022
100,60,0.25,1,0.03,0.03,38.959283585295104,0.14146224335478055,38.81782134194032
100,60,0.25,10,0.03,0.03,36.43449202474083,6.8017631974721136,29.632728827268714
100,60,0.8,0.02,0.03,0.03,39.97601288787747,5.689317249614664e-06,39.97600719856022
100,60,0.8,1,0.03,0.03,47.940611012738195,9.122789670797879,38.81782134194032
100,60,0.8,10,0.03,0.03,62.42791138411197,32.79518255684325,29.632728827268714
100,80,0.05,0.02,0.03,0.03,19.98800359928011,1.9927778662796376e-220,19.98800359928011
100,80,0.05,1,0.03,0.03,19.40891430849134,3.6375211540832775e-06,19.40891067097016
100,80,0.05,10,0.03,0.03,15.190768661089434,0.37440424745507966,14.816364413634357
100,80,0.25,0.02,0.03,0.03,19.988003599347174,6.704973438766395e-11,19.98800359928011
100,80,0.25,1,0.03,0.03,21.609491308734064,2.200580637763906,19.40891067097016
100,80,0.25,10,0.03,0.03,28.673680122270458,13.857315708636099,14.816364413634357
100,80,0.8,0.02,0.03,0.03,20.080529462930517,0.09252586365040241,19.98800359928011
100,80,0.8,1,0.03,0.03,37.851697593851945,18.442786922881783,19.40891067097016
100,80,0.8,10,0.03,0.03,60.48805104682191,45.671686633187555,14.816364413634357
100,95,0.05,0.02,0.03,0.03,4.9970008998200415,1.8865802421176177e-14,4.997000899820027
100,95,0.05,1,0.03,0.03,5.227496573912433,0.37526890616989517,4.85222766774254
100,95,0.05,10,0.03,0.03,6.6416221484469595,2.9375310450383654,3.7040911034085893
100,95,0.25,0.02,0.03,0.03,5.109941852619073,0.11294095279904234,4.997000899820027
100,95,0.25,1,0.03,0.03,12.037594828907617,7.185367161165076,4.85222766774254
100,95,0.25,10,0.03,0.03,24.10424601164543,20.400154908236832,3.7040911034085893
